question_en,answer_en,question_ne,answer_ne
what are the sustainable approaches to cassava disease management?,breeding disease-resistant varieties and using natural pest control methods.,कसावा रोग व्यवस्थापनका दिगो दृष्टिकोणहरू के के हुन्?,रोग प्रतिरोधी प्रजातिहरू प्रजनन गर्ने र प्राकृतिक कीट नियन्त्रण विधिहरू प्रयोग गर्ने ।
which diseases can be spread by whiteflies?,"The whiteflies can spread viruses such as CMD and CBSD, which can cause significant losses for farmers.",सेतो मक्खीले कुन रोगहरू फैलाउन सक्छ?,"सेतो मक्खीले CMD र CBSD जस्ता भाइरसहरू फैलाउन सक्छ, जसले किसानहरूको लागि महत्त्वपूर्ण क्षति निम्त्याउन सक्छ ।"
what is irrigation?,Irrigation is the process of applying water to crops in order to help them grow,सिंचाई भनेको के हो?,सिंचाई भनेको बालीमा पानी लगाउने प्रक्रिया हो जसले तिनीहरूलाई बढ्न मद्दत गर्दछ
what are organic fertilizers?,"organic fertilizers, which are made from natural materials such as manure and compost",अर्गानिक मलखाद के हो?,"जैविक मल, जुन मल र कम्पोस्ट जस्ता प्राकृतिक सामग्रीबाट बनेको हुन्छ"
what are fertilizers?,Fertilizers are substances that are added to soil to improve the growth and quality of crops,मलखाद के हो?,फर्टिलाइजरहरू बालीको बृद्धि र गुणस्तर सुधार गर्न माटोमा थपिएका पदार्थहरू हुन्
why are fertilizers used in farming?, to improve the growth and quality of crops,खेतीमा मलखाद किन प्रयोग गरिन्छ?,बालीको बृद्धि र गुणस्तर सुधार गर्न
what type of fertilizers are made from chemical?,synthetic fertilizers,कुन प्रकारको मल रसायनबाट बनेको हुन्छ?,कृत्रिम मल
what is pest management?,Pest management is the practice of controlling pests and diseases that can damage crops,कीट व्यवस्थापन भनेको के हो?,कीट व्यवस्थापन भनेको कीटहरू र रोगहरू नियन्त्रण गर्ने अभ्यास हो जसले बालीनालीलाई नोक्सान पुर्याउन सक्छ
what are the different methods of pest management?,"biological control, cultural control, and chemical contro",कीट व्यवस्थापनका विभिन्न विधिहरू के के हुन्?,"जैविक नियन्त्रण, सांस्कृतिक नियन्त्रण, र रासायनिक नियन्त्रण"
in which way is climate change affecting agriculture?,"changes in temperature, rainfall, and weather patterns",जलवायु परिवर्तनले कृषिलाई कुन तरिकाले असर गरिरहेको छ?,"तापक्रम, वर्षा र मौसम ढाँचामा परिवर्तन"
what are the effects of climate change,"decreased crop yields, increased pest and disease pressure, and other challenges for farmers.",जलवायु परिवर्तनका प्रभावहरू के के हुन्,"बाली उत्पादनमा कमी, कीट र रोगको चापमा वृद्धि, र किसानहरूका लागि अन्य चुनौतीहरू ।"
what is crop protection?," Crop protection refers to the various methods used to protect crops from pests, diseases, and other threats",बाली संरक्षण भनेको के हो?,"बाली संरक्षणले कीटहरू, रोगहरू, र अन्य खतराहरूबाट बालीलाई बचाउन प्रयोग गरिने विभिन्न विधिहरूलाई जनाउँछ"
what kind of practices are used for crop protection?," use of pesticides, fungicides, and other chemicals, as well as cultural practices",बाली संरक्षणको लागि कस्तो प्रकारको अभ्यासहरू प्रयोग गरिन्छ?,"कीटनाशक, फङ्गीसाइड, र अन्य रसायनहरू, साथै सांस्कृतिक अभ्यासहरूको प्रयोग"
give two cultural crop protection practices.,crop rotation and intercropping.,दुई सांस्कृतिक बाली संरक्षण अभ्यासहरू दिनुहोस् ।,क्रप रोटेसन र इन्टरक्रपिंग ।
what is GMO in full?,Genetically Modified Crops,gMO पूर्ण रूपमा के हो?,आनुवंशिक रूपमा परिमार्जित बालीहरू
define what GMO is?,"GMOs are crops that have been genetically modified to enhance their resistance to pests and diseases, as well as to improve their nutritional value and other characteristics",gMO के हो भनेर परिभाषित गर्नुहोस्?,"जीएमओहरू कीट र रोगहरूको प्रतिरोध बढाउन आनुवंशिक रूपमा परिमार्जन गरिएका बालीहरू हुन्, साथै तिनीहरूको पोषण मूल्य र अन्य विशेषताहरू सुधार गर्न"
what concerns have recently been raised about GMO's? ,safety and potential environmental impacts,gMO हरूको बारेमा हालसालै कस्ता चिन्ताहरू उठाइएका छन्?,सुरक्षा र सम्भावित वातावरणीय प्रभावहरू
how can i define precision agriculture?, Precision agriculture is the use of technology to optimize crop production and reduce waste,म सटीक कृषि कसरी परिभाषित गर्न सक्छु?,सटीक कृषि भनेको बाली उत्पादनलाई अनुकूलन गर्न र फोहोर कम गर्न प्रविधिको प्रयोग हो
what kinds of tools are used in precision agriculture,"sensors, drones, and other tools",सटीक कृषिमा कस्ता प्रकारका उपकरणहरू प्रयोग गरिन्छ,"सेन्सर, ड्रोन, र अन्य उपकरणहरू"
what kind of information is collected by tools used in precision agriculture?," soil moisture, nutrient levels, and other factors",सटीक कृषिमा प्रयोग गरिने उपकरणहरूद्वारा कस्तो प्रकारको जानकारी सङ्कलन गरिन्छ?,"माटोको चिस्यान, पोषक तत्वको स्तर, र अन्य कारकहरू"
how can the information collected for precision agriculture used?,make more informed decisions about planting and harvesting,सटीक कृषिका लागि सङ्कलन गरिएको जानकारी कसरी प्रयोग गर्न सकिन्छ?,रोपण र कटाईको बारेमा थप सूचित निर्णयहरू लिनुहोस्
what is Integrated Pest Management?,"IPM is a holistic approach to pest management that emphasizes the use of multiple methods to control pests, including biological control, cultural control, and chemical control",एकीकृत कीट व्यवस्थापन भनेको के हो?,"IPM कीट व्यवस्थापनको लागि एक समग्र दृष्टिकोण हो जसले जैविक नियन्त्रण, सांस्कृतिक नियन्त्रण, र रासायनिक नियन्त्रण सहित कीट नियन्त्रण गर्न धेरै विधिहरूको प्रयोगमा जोड दिन्छ"
why is Integrated Pest Management used?,"to minimize the use of pesticides and other chemicals, while still effectively controlling pests and diseases.",एकीकृत कीट व्यवस्थापन किन प्रयोग गरिन्छ?,"कीटनाशक र अन्य रसायनहरूको प्रयोगलाई कम गर्न, जबकि अझै पनि कीटहरू र रोगहरूलाई प्रभावकारी रूपमा नियन्त्रण गर्न ।"
what causes plant diseases?,"variety of pathogens, including fungi, bacteria, viruses, and nematodes",बोटबिरुवाको रोगको कारण के हो?,"फंगस, ब्याक्टेरिया, भाइरस र नेमाटोड लगायत विभिन्न प्रकारका रोगजनकहरू"
how do we control plant diseases?,use of pesticides and other measures to control.,हामी बोटबिरुवाका रोगहरू कसरी नियन्त्रण गर्छौं?,कीटनाशक र नियन्त्रणका लागि अन्य उपायहरूको प्रयोग ।
How can I increase the yield of my potato crop?,"Potato yield can be increased by taking steps to improve soil fertility, such as using organic matter and maintaining proper soil pH",म कसरी मेरो आलु बालीको उपज बढाउन सक्छु?,"माटोको उर्वरता सुधार गर्न कदम चालेर आलुको उत्पादन बढाउन सकिन्छ, जस्तै जैविक पदार्थको प्रयोग र उचित माटो pH कायम राख्नु"
What is the best way to store harvested wheat to prevent spoilage?,Harvested wheat should be stored carefully to prevent spoilage and maintain quality,खराब हुनबाट रोक्नको लागि कटनी गरिएको गहुँ भण्डारण गर्ने उत्तम तरिका के हो?,खराब हुनबाट रोक्न र गुणस्तर कायम राख्न कटनी गरिएको गहुँलाई सावधानीपूर्वक भण्डारण गर्नुपर्छ
What is the best time of year to plant soybeans in the Midwest?, between late April and mid-May,मध्यपश्चिममा सोयाबिन रोप्ने वर्षको उत्तम समय कुन हो?,अप्रिलको अन्त्यदेखि मेको मध्यसम्म
what is the most popular crop in midwest?,Soybeans ,मध्यपश्चिममा सबैभन्दा लोकप्रिय फसल के हो?,सोयाबीन
what is the percentage of moisture content before storage?,13.5% or less,भण्डारण गर्नु अघि ओसिलो सामग्रीको प्रतिशत कति छ?,13.5% वा कम
How can I control the spread of fungal diseases in my tomato plants?," ensure good airflow around the plants by spacing them properly and pruning them as needed. Additionally, using a fungicide can help control fungal growth. It's also important to avoid overhead watering, which can promote the spread of disease by splashing spores from one plant to another",म कसरी मेरो टमाटर बोटबिरुवाहरूमा फंगल रोगहरूको फैलावट नियन्त्रण गर्न सक्छु?,"बोटबिरुवाको वरिपरि राम्रो हावा प्रवाह सुनिश्चित गर्नुहोस् तिनीहरूलाई ठीकसँग खाली गरेर र आवश्यकतानुसार काट्दै । थप रूपमा, फंगलसाइडको प्रयोगले फंगल बृद्धि नियन्त्रण गर्न मद्दत गर्न सक्छ । ओभरहेड पानीबाट बच्नु पनि महत्त्वपूर्ण छ, जसले एक बोटबाट अर्को बोटमा बीजाणु छर्केर रोगको फैलावटलाई बढावा दिन सक्छ"
What is the recommended dosage of fertilizer for growing strawberries in sandy soil?,"Generally, a balanced fertilizer with an NPK ratio of 10-10-10 is recommended for sandy soil. However, the exact dosage may vary depending on the specific soil conditions and the age of the plants",बलौटे माटोमा स्ट्रबेरी बढाउनको लागि मलको सिफारिस गरिएको खुराक के हो?,"सामान्यतया, बालुवा माटोको लागि 10 -10 -10 को NPK अनुपात भएको सन्तुलित मलखाद सिफारिस गरिन्छ । यद्यपि, निश्चित माटोको अवस्था र बोटबिरुवाको उमेरको आधारमा सही खुराक फरक हुन सक्छ"
How can I prevent soil erosion on my farm?,"planting cover crops, using conservation tillage practices, and building contour terraces. It's also important to avoid overgrazing and to maintain vegetation along streams and other waterways to prevent bank erosion.",म कसरी मेरो खेतमा माटोको क्षरण रोक्न सक्छु?,"कभर बाली रोप्ने, संरक्षण जुताई अभ्यासहरू प्रयोग गर्ने, र समोच्च टेरेसहरू निर्माण गर्ने । अधिक चराउनबाट बच्नु र किनारको क्षरण रोक्न धाराहरू र अन्य जलमार्गहरूमा वनस्पति कायम राख्नु पनि महत्त्वपूर्ण छ ।"
What are some common pests that attack apple trees and how can I control them?,"codling moths, apple maggots, and aphids. To control these pests, it's important to monitor the trees regularly and take action as soon as signs of infestation are observed",स्याउका रूखहरूमा आक्रमण गर्ने केही सामान्य कीटहरू के हुन् र म तिनीहरूलाई कसरी नियन्त्रण गर्न सक्छु?,"कोडलिङ मोथहरू, स्याउ मगटहरू, र एफिडहरू । यी कीटहरूलाई नियन्त्रण गर्न, नियमित रूपमा रूखहरूको निगरानी गर्नु र संक्रमणको लक्षणहरू देख्ने बित्तिकै कदम चाल्नु महत्त्वपूर्ण छ"
what other methods can be used to control apple tree pests?,"using pheromone traps, applying insecticides, or using natural predators such as ladybugs",स्याउको रूखका कीटहरू नियन्त्रण गर्न अन्य कुन विधिहरू प्रयोग गर्न सकिन्छ?,"फेरोमोन पासोहरू प्रयोग गरेर, कीटनाशकहरू प्रयोग गरेर, वा प्राकृतिक शिकारीहरू जस्तै लेडीबगहरू प्रयोग गरेर"
How do I know when my corn is ready to harvest?,"Corn is typically ready to harvest when the kernels are firm and have reached their full size, and the ears have a mature appearance",मेरो मकै कटनीको लागि तयार हुँदा मलाई कसरी थाहा हुन्छ?,"कर्नेलहरू दृढ हुँदा र तिनीहरूको पूर्ण आकारमा पुगेपछि मकै सामान्यतया कटनी गर्न तयार हुन्छ, र कानहरू परिपक्व देखिन्छन्"
how do i check for corn maturity?,"test the kernel moisture content using a moisture meter. Additionally, the husks on the ears should have turned brown and dry",मकै परिपक्वताको लागि म कसरी जाँच गर्न सक्छु?,"ओसिलो मिटर प्रयोग गरेर कर्नेल ओसिलो सामग्रीको परीक्षण गर्नुहोस् । थप रूपमा, कानको भूसी खैरो र सुक्खा भएको हुनुपर्दछ"
What are some sustainable farming practices that can help reduce environmental impact?,Sustainable farming practices can help,वातावरणीय प्रभाव कम गर्न मद्दत गर्न सक्ने केही दिगो खेती अभ्यासहरू के के हुन्?,दिगो कृषि अभ्यासहरूले मद्दत गर्न सक्छ
What are some common pests that can affect maize crops?,"corn borers, armyworms, and rootworms",मकैको बालीलाई असर गर्न सक्ने केही सामान्य कीटहरू के हुन्?,"मकै छेदकहरू, सेनाका कीराहरू, र जराका कीराहरू"
What is the ideal planting density for maize?,"The ideal planting density for maize can vary depending on the specific climate and soil conditions. In general, a planting density of around 70,000 to 80,000 plants per hectare is recommended for optimal yield. However, the ideal density may vary depending on factors such as the variety of maize being planted and the availability of water and nutrients",मकैको लागि आदर्श रोपण घनत्व के हो?,"मकैको लागि आदर्श रोपण घनत्व विशिष्ट जलवायु र माटोको अवस्थाको आधारमा फरक हुन सक्छ । सामान्यतया, इष्टतम उत्पादनको लागि प्रति हेक्टर लगभग ७०,००० देखि ८०,००० बिरुवा रोप्ने घनत्व सिफारिस गरिन्छ । यद्यपि, रोपिएको मकैको विविधता र पानी र पोषक तत्वहरूको उपलब्धता जस्ता कारकहरूको आधारमा आदर्श घनत्व फरक हुन सक्छ"
How can I improve the quality of my grapes for winemaking?,"Grape quality can be improved by careful management of the vines, such as proper pruning and trellising. Additionally, thinning the grape clusters can help ensure even ripening and improve the quality of the fruit",म वाइन बनाउनको लागि मेरो अंगूरको गुणस्तर कसरी सुधार गर्न सक्छु?,"दाखको बोटको सावधानीपूर्वक व्यवस्थापन गरेर अंगूरको गुणस्तर सुधार गर्न सकिन्छ, जस्तै उचित काँटछाँट र ट्रेलिजिंग । थप रूपमा, अङ्गुरको गुच्छा पातलो पार्नाले पनि पाकेको सुनिश्चित गर्न र फलफूलको गुणस्तर सुधार गर्न मद्दत गर्दछ"
which year was Apple farming introduced in Uganda?,1999,युगान्डामा स्याउ खेती कुन वर्ष शुरू गरिएको थियो?,सन् १९९९
What type of soil is best suited for growing beans?,Beans require well-draining soils with a pH level between 6.0 and 7.5,बीन्स उब्जाउनको लागि कुन प्रकारको माटो उपयुक्त छ?,बीन्सलाई 6.0 र 7.5 बीचको pH स्तर भएको राम्रोसँग पानी निकाल्ने माटो चाहिन्छ
How should the soil be prepared before planting beans?, the soil must be prepared by removing weeds and incorporating organic matter such as compost or manure to improve soil fertility.,सिमी रोप्नु अघि माटो कसरी तयार गर्नुपर्छ?,माटोको उर्वरता सुधार गर्न खरपतवार हटाएर र जैविक पदार्थ जस्तै कम्पोस्ट वा मल समावेश गरेर माटो तयार गर्नुपर्छ ।
What is the recommended pH range for soil used for growing beans?,between 6.0 and 7.5,सिमी खेतीको लागि प्रयोग गरिने माटोको लागि सिफारिस गरिएको pH दायरा के हो?,6.0 र 7.5 बीच
"What are some common pests and diseases that can affect beans, and how can they be managed?","Common pests include aphids, thrips, and spider mites, while diseases such as bacterial blight and rust can also affect the crop. Pest and disease management typically involves the use of chemical or organic pesticides and fungicides, as well as proper crop rotation to reduce the risk of infection","केही साधारण कीटहरू र रोगहरू के हुन् जसले फलफूललाई असर गर्न सक्छ, र तिनीहरूलाई कसरी व्यवस्थापन गर्न सकिन्छ?","साधारण कीटहरूमा एफिडहरू, थ्रिप्स र स्पाइडर माइटहरू समावेश हुन्छन्, जबकि ब्याक्टेरियल ब्लाइट र रस्ट जस्ता रोगहरूले पनि बालीलाई असर गर्न सक्छ । कीट र रोग व्यवस्थापनमा सामान्यतया संक्रमणको जोखिम कम गर्न रासायनिक वा जैविक कीटनाशक र फङ्गीसाइडको प्रयोग, साथै उचित फसल परिक्रमा समावेश हुन्छ"
"When is the best time to harvest beans, and how is this determined?",when the pods turn yellow and dry up,"सिमी काट्ने उत्तम समय कहिले हो, र यो कसरी निर्धारण गरिन्छ?",जब फली पहेंलो हुन्छ र सुक्छ
"What is field curing, and why is it important for bean crops?","the beans are left to dry further in the sun, a process known as field curing","फिल्ड क्युरिङ के हो, र किन यो फलफूल बालीहरूको लागि महत्त्वपूर्ण छ?","सेमलाई घाममा सुकाउन छोडिदिन्छ, जसलाई फिल्ड क्युरिङ भनिन्छ"
What is threshing?,separate the beans from the pods and other debris,थ्रेसिंग भनेको के हो?,फली र अन्य फोहोरबाट दाल अलग गर्नुहोस्
how is threshing done for bean crops?,manually or by using machines such as threshers or combines,बीन बालीको लागि थ्रेसिंग कसरी गरिन्छ?,म्यानुअल रूपमा वा थ्रेसर वा संयोजन जस्ता मेशिनहरू प्रयोग गरेर
What is post-harvest management?,Proper storage conditions,कटनीपछिको व्यवस्थापन के हो?,उचित भण्डारण अवस्था
which other techniques can help preserve quality of beans?,The use of hermetic storage bags or containers,कुन अन्य प्रविधिहरूले सेमको गुणस्तर संरक्षण गर्न मद्दत गर्न सक्छ?,हर्मेटिक भण्डारण झोला वा कन्टेनरको प्रयोग
what is the right spacing for beans when plantimg?,about 2-4 inches apart,प्लान्टिम हुँदा सिमीको लागि सही स्पेसिङ्ग के हो?,लगभग 2 -4 इन्चको दूरीमा
what is the ideal storage temperature for beans?, between 10-15�C,सेमको लागि आदर्श भण्डारण तापमान के हो?,१० - १५सेन्टिग्रेडको बीचमा
what should grapes be harvested?,"when they have reached their full flavor and sugar content, but before they become overripe.",अंगूर के काट्नुपर्छ?,"जब तिनीहरू आफ्नो पूर्ण स्वाद र चिनी सामग्रीमा पुग्छन्, तर तिनीहरू पकाउनु अघि ।"
why is post-harvest management important for preserving the quality of beans?,to prevent mold growth and insect infestation,फलफूलको गुणस्तर संरक्षणको लागि फसल पछिको व्यवस्थापन किन महत्त्वपूर्ण छ?,मोल्ड वृद्धि र कीराको संक्रमण रोक्नको लागि
how are beans planted?,The seeds are planted at a depth of 1-2 inches and spaced about 2-4 inches apart in rows,सिमी कसरी रोपिन्छ?,बीउहरू 1 -2 इन्चको गहिराइमा लगाइन्छ र पङ्क्तिहरूमा लगभग 2 -4 इन्चको दूरीमा राखिन्छ
What is maize and why is it important?,"Maize, also known as corn, is one of the most widely cultivated crops in the world, and is a staple food in many regions",मकै के हो र यो किन महत्त्वपूर्ण छ?,"मकै, जसलाई मकै पनि भनिन्छ, विश्वको सबैभन्दा व्यापक खेती गरिएको बालीहरू मध्ये एक हो, र धेरै क्षेत्रहरूमा मुख्य खाना हो"
What are the ideal conditions for planting maize?,Maize requires well-draining soils with a pH level between 5.5 and 7.5. The site should also receive full sunlight to promote optimal growth,मकै रोप्नका लागि आदर्श अवस्था के हो?,मक्कालाई 5.5 र 7.5 को बीचको pH स्तर भएको राम्रोसँग पानी निकाल्ने माटो चाहिन्छ । इष्टतम वृद्धिलाई बढावा दिन साइटले पूर्ण सूर्यको प्रकाश पनि प्राप्त गर्नुपर्छ
How are maize planted?,"the maize seeds are planted either by hand or machine, depending on the scale of the operation",मकै कसरी रोपिन्छ?,"मकैको बीउ या त हात वा मेसिनद्वारा रोपिन्छ, अपरेशनको मात्रामा निर्भर गर्दछ"
what is the spacing between plants and rows?,a spacing of 20-30 cm between plants and 60-75 cm between rows,बोटबिरुवा र पङ्क्तिहरू बीचको अन्तराल के हो?,बिरुवाहरू बीच 20 -30 सेन्टिमिटर र पङ्क्तिहरू बीच 60 -75 सेन्टिमिटरको दूरी
What is necessary to facilitate seedling growth during the germination process?,to ensure adequate moisture levels during the germination process,अंकुरण प्रक्रियाको क्रममा अंकुरण वृद्धिलाई सहज बनाउन के आवश्यक छ?,अंकुरण प्रक्रियाको समयमा पर्याप्त ओसिलो स्तर सुनिश्चित गर्न
What are the common pests and diseases that affect maize?,"armyworms, cutworms, and aphids, while diseases such as corn smut and gray leaf spot can also affect the crop",मकैलाई असर गर्ने साधारण कीटहरू र रोगहरू के हुन्?,"सेनाका कीराहरू, काट्ने कीराहरू, र एफिडहरू, जबकि मकैको धुलो र खैरो पातका धब्बा जस्ता रोगहरूले पनि बालीलाई असर गर्न सक्छ"
how can pest and diseases be managed in maize plants? ,"use of chemical or organic pesticides and fungicides, as well as proper crop rotation to reduce the risk of infection",मकैका बिरुवाहरूमा कीट र रोगहरू कसरी व्यवस्थापन गर्न सकिन्छ?,"संक्रमणको जोखिम कम गर्न रासायनिक वा जैविक कीटनाशक र फङ्गीसाइडको प्रयोग, साथै उचित क्रप रोटेशनको प्रयोग"
When is the ideal time to harvest maize?,"Harvesting is typically done when the kernels are fully developed and hard, and the husks have dried up and turned brown",मकै काट्ने उपयुक्त समय कहिले हो?,"कर्नेलहरू पूर्ण रूपमा विकसित र कडा हुँदा, र भुस सुकेको र खैरो भएको बेलामा फसल काट्ने काम गरिन्छ"
how are plants harvested?,by hand or machine,बोटबिरुवाहरू कसरी काट्ने गरिन्छ?,हात वा मेसिनद्वारा
What is the process of field drying and threshing maize?,Post-harvest management,खेत सुकाउने र थ्रेसिंग मक्काको प्रक्रिया के हो?,कटनीपछिको व्यवस्थापन
How is maize  stored after harvesting?,use of hermetic storage bags or containers ,कटाई पछि मकै कसरी भण्डारण गरिन्छ?,हर्मेटिक भण्डारण झोला वा कन्टेनरको प्रयोग
What are the ideal storage conditions for maize to prevent mold growth and insect infestation?,temperatures between 10-15�C,मकैको लागि मोल्ड वृद्धि र कीराको संक्रमण रोक्नको लागि आदर्श भण्डारण अवस्था के हो?,10 -15°C बीचको तापक्रम
which district in Uganda was apple first introduced?,Kabale District,युगान्डाको कुन जिल्लामा स्याउ पहिलो पटक ल्याइएको थियो?,Kabale डिस्ट्रिक्ट
which other regions in Uganda grow apples?,"Bugisu, Bukedi and
Sebei sub regions in areas around Mt. Elgon",युगान्डाका अन्य कुन क्षेत्रहरूले स्याउ खेती गर्छन्?,"बुगिसु, बुकेदी र
माउन्ट एल्गोन वरपरका क्षेत्रहरूमा सेबेई उप - क्षेत्रहरू"
what are some of the challenges in growing apples?,"� Apple seedlings are imported and costly
� Birds and thieves are giving many farmers sleepless nights.
� Few areas are favourable for Apple Growing
� High competition with imported apples
Market",स्याउ खेतीमा केही चुनौतीहरू के के छन्?,"‹ स्याउको रोपाइँ आयात गरिन्छ र महँगो हुन्छ
चरा र चोरहरूले धेरै किसानहरूलाई निद्राविहीन रातहरू दिइरहेका छन् ।
स्याउ बढ्नको लागि केही क्षेत्रहरू अनुकूल छन्
आयातित स्याउसँग उच्च प्रतिस्पर्धा
बजार"
"What is the fall armyworm, and why is it a concern for farmers in Uganda?","The fall armyworm, in particular, is a major concern for farmers as it is highly invasive, can reproduce quickly, and can cause significant crop losses","खस्ने सेनाको कीरा के हो, र यो युगान्डाका किसानहरूको लागि किन चिन्ताको विषय हो?","पतन सेनाको कीरा, विशेष गरी, किसानहरूको लागि ठूलो चिन्ताको विषय हो किनकि यो अत्यधिक आक्रामक छ, चाँडै प्रजनन गर्न सक्छ, र महत्वपूर्ण बाली नोक्सान निम्त्याउन सक्छ"
When was the fall armyworm first detected in Uganda?,2016,युगान्डामा खस्ने सेनाको कीरा पहिलो पटक कहिले पत्ता लागेको थियो?,2016.
Which crops are most susceptible to armyworm infestation in Uganda?,"maize, sorghum, millet, and rice",युगान्डामा सेनाको कीराको संक्रमणको लागि कुन बालीहरू सबैभन्दा बढी संवेदनशील छन्?,"मकै, ज्वार, बाजरा, र चामल"
What are the potential crop losses due to armyworm infestation?," Its infestation can lead to yield losses of up to 50% and, in some cases, total crop failure",आर्मीवर्म इन्फेक्शनको कारण सम्भावित फसल नोक्सान के हो?,"यसको संक्रमणले ५० % सम्मको घाटा निम्त्याउन सक्छ र, केही अवस्थामा, कुल फसल विफलता"
"How is the spread of armyworms facilitated, and why is it challenging to contain their spread?","The spread of armyworms is facilitated by their ability to fly long distances, which makes it difficult to contain their spread. The pest can also survive in crop residues, making it challenging to eradicate them completely",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  02 HOURS 23 MINUTES 08 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  02 HOURS 23 MINUTES 07 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
What are some of the methods that farmers in Uganda use to control armyworms?,"early detection, biological control, chemical control, crop rotation, and cultural control",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  02 HOURS 23 MINUTES 06 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  02 HOURS 23 MINUTES 05 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
when do i harvest cassava plant?,"when the plants have attained
complete physiological maturity",MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  02 HOURS 23 MINUTES 03 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  02 HOURS 23 MINUTES 02 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
